full_text,precinct,shape_area,shape_len,ward,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,TOTHH,LESS_10K,10K_15K,15K_20K,20K_25K,25K_30K,30K_35K,35K_40K,40K_45K,45K_50K,50K_60K,60K_75K,75K_100K,100K_125K,125K_150K,150K_200K,200K_MORE,JOINID,TOTV_19,JOYCE_19,VALLAS_19,WILSON_19,PRECK_19,DALEY_19,MCCART_19,CHICO_19,MEND_19,ENYIA_19,FORD_19,SALGRIF_19,LHGTFT_19,FIORETTI_1,KOZLAR_19,TOTV_RO15,RO_E15,RO_G15,TOTV_G15,EMAN_G15,WILS_G15,FIORET_G15,GARCIA_G15,WALLS_G15,TOTPOP19,NH_WHITE19,NH_BLACK19,NH_AMIN19,NH_ASIAN19,NH_NHPI19,NH_OTHER19,NH_2MORE19,HISP19,H_WHITE19,H_BLACK19,H_AMIN19,H_ASIAN19,H_NHPI19,H_OTHER19,H_2MORE19,Ward_Prec,MAY19LL,MAY19TP,COUNTY,HVAP_pct,WVAP_pct,BVAP_pct,AMINVAP_pct,ASIANVAP_pct,NHPIVAP_pct,OTHERVAP_pct,2MOREVAP_pct,LESS_10K_pct,10K_15K_pct,15K_20K_pct,20K_25K_pct,25K_30K_pct,30K_35K_pct,35K_40K_pct,40K_45K_pct,45K_50K_pct,50K_60K_pct,60K_75K_pct,75K_100K_pct,100K_125K_pct,125K_150K_pct,150K_200K_pct,200K_MORE_pct,GARCIA_G15_pct,EMAN_G15_pct
41027,27.0,309076162.776,139749.430317,41.0,2197.19982158,1842.14707357,37.523809681049926,0.0,78.7684997100898,0.0,0.998978184558904,27.999120840353953,209.76233959868,136.77330886843717,4.0,1.0,0.0,0.0,55.98937579180825,11.999654938434617,1755.19128529,151.77829841009935,1492.87985846,28.761361496295756,0.0,55.772392032868666,0.0,0.0,25.99937488730678,2481.53614046,134.38763781984122,242.2784259276081,131.91515567257017,182.2695336516232,172.34933239970016,111.60017018189475,71.49537798013598,146.79722157458372,76.63670930274475,177.14557529817057,385.0404123232279,289.4732371573175,157.3674581646386,102.88990024937293,48.11169529310977,51.77829746073083,C41027,222,34,31,12,6,44,22,20,25,6,1,0,15,4,2,276,184,92,154,60,2,15,72,5,4052.0,3273.53920253,49.5985303287879,0.0,161.14181410573732,1.162063953488372,0.0,30.297990020293057,536.2603990589264,411.6121596384695,3.295395757889291,0.0,0.0,0.008270158511371,121.31493876939044,0.029634734665748,41-27,147,34,Cook,0.08647393573688004,0.8505510886315392,0.016386454135991043,0.0,0.03177567738644151,0.0,0.0,0.014812844107194308,0.05415501939654601,0.09763243902734264,0.05315866794030136,0.07345028374957943,0.06945267876201551,0.04497221231733,0.028810935619451812,0.05915578628138459,0.030882769770396605,0.07138545049169957,0.15516212157678,0.11665082463947438,0.06341534003831496,0.041462180853147006,0.01938786806634674,0.020865421468789384,0.4675324675324675,0.38961038961038963
05025,25.0,25695249.8072,35894.5221761,5.0,1179.00003544,40.00000205288324,1063.00003216,2.0,3.000000272528399,1.96020903e-07,2.0,38.00000000596003,31.000000748294447,0.9999999981795,11.000000393046362,1.0,0.0,0.0,7.0,11.000000357068586,922.0000346365432,18.000000545877427,34.00000244244731,839.000030987768,2.0,3.000000260740715,1.96020903e-07,2.0,24.000000203688984,2159.70627383,368.336930579983,210.17289583918563,157.82046726637688,103.10487931575682,149.27343638614855,46.95997355895636,63.89233454173303,81.72680060099682,37.61252862284184,232.81715752486883,163.46087041979462,143.93119181954535,118.8465155841343,49.398125542982044,65.02421275852024,167.32795347289732,C05025,316,2,7,36,115,34,1,6,14,29,8,0,61,1,0,339,184,155,163,71,49,7,28,8,1179.0,57.026094190600155,1101.7264108,17.80599484001474,0.0,0.0,0.0,0.0,2.441500167142379,0.0,2.426174496644295,0.0,0.0,0.0,0.015325670498084,0.0,5-25,204,126,Cook,0.019522776431318806,0.036876357012123405,0.909978307450396,0.002169197315473431,0.003253796256009176,2.126040082821389e-10,0.002169197315473431,0.02603036800660197,0.17054954881747794,0.09731549997605335,0.07307496819301254,0.047740232347851505,0.06911747129457035,0.021743685300167247,0.029583807444531353,0.037841627628401237,0.017415575941324736,0.1078003802396672,0.07568662109311507,0.06664387355059136,0.05502901807724675,0.02287261288331581,0.030107896405378767,0.07747718080948096,0.17177914110429449,0.43558282208588955
48041,41.0,1248112.66089,4917.91411862,48.0,2077.99995318,789.9999852104376,584.9999937263269,4.0,190.99999282640178,0.0,4.0,52.99999826844181,450.99998314557274,225.99999479413336,13.0,18.99999925790363,1.0,0.0,164.99999058892058,26.999998504615185,1810.99996357,329.99998957707464,749.9999864472649,502.99999422105793,4.0,177.99999406322905,0.0,4.0,41.99999925790363,1475.69932163,266.99128121870547,204.91781516044173,150.81116754560819,93.23485757550236,141.7653913615403,95.06917711155498,68.23241908206961,79.92407546078609,34.57977192132992,105.53642456931313,67.06855077739657,20.890865041044613,49.32954263399887,16.99999818761832,42.17399306129838,38.1739909266238,C48041,366,7,5,12,84,35,6,11,25,62,3,1,106,4,3,296,150,146,286,108,64,9,89,16,2078.0,863.2764528967892,440.46675190979835,25.205410821643287,272.4965700672073,0.0,0.0,48.74422459830624,427.8105897062554,391.29796672658506,0.0,0.0,0.0,0.0,20.195189245346217,16.31743373432417,48-41,211,137,Cook,0.18221976599411413,0.4141358374015645,0.2777471034452705,0.002208724506054022,0.0982882372412311,0.0,0.002208724506054022,0.02319160690379562,0.18092525848951213,0.13886149580532264,0.10219640636483321,0.06318011820491912,0.09606658299805396,0.06442313533528311,0.0462373452924697,0.05416013566537732,0.023432803291618006,0.07151621134632068,0.04544865596557655,0.014156586463677016,0.033427908999450764,0.011519960698254427,0.028578987902979202,0.02586840717962674,0.3111888111888112,0.3776223776223776
03024,24.0,5716768.43038,12629.2401761,3.0,1677.00000144,17.000000033872066,1595.00000139,2.0,3.0,0.0,1.0,28.0,31.000000016936035,6.0,15.000000016936033,0.0,1.0,0.0,8.0,1.0,1210.0000009,25.0,16.000000033872062,1149.00000086,0.0,3.0,0.0,1.0,16.0,921.883397305814,251.33475525804238,177.83383062850723,87.38542140199078,103.73731658855789,15.810333595194656,32.28999408185767,38.96216711123817,27.619377491511752,19.279459567656904,44.48904497443015,50.118229703991666,22.472444663074896,38.62620624301187,10.66706042719334,4.1535237e-07,1.257755154202336,C03024,266,6,8,77,65,32,4,7,4,22,4,2,33,1,0,291,188,103,225,107,7,32,79,0,1677.0,23.00207039337474,1597.69031274,1.015037593984963,9.637681159420291,0.0,0.0,7.778958265228288,37.87593984962407,0.845864661654135,29.928081072245835,0.0,6.08695652173913,0.0,1.015037593984963,0.0,3-24,179,107,Cook,0.020661157009425585,0.013223140514025815,0.9495867768639437,0.0,0.0024793388411310704,0.0,0.0008264462803770235,0.013223140486032375,0.2726318274009091,0.19290273710126798,0.094790102151067,0.11252758959726158,0.017150036155765516,0.03502611520743788,0.042263660702757354,0.029959729801218717,0.02091312157698115,0.048258863435927474,0.054365042098015,0.024376667080403196,0.041899231894072714,0.011570943199940049,4.5054761937774243e-10,0.0013643321464277376,0.3511111111111111,0.47555555555555556
02045,45.0,476271.144934,2986.07113104,2.0,1448.99999688,830.9999984295123,352.9999998717149,3.999999989309577,172.99999908697336,1.0,3.0,16.0,67.9999995017833,40.99999951781892,7.999999994654789,0.0,0.0,0.0,15.999999989309577,3.0,1407.99999711,64.9999995017833,806.9999984348576,349.99999987706013,2.999999994654789,162.99999930401046,1.0,3.0,16.0,1060.95263151,316.0489229782045,176.6260859022107,36.99999084465109,12.999999845114404,4.91807897e-07,53.813053486971214,14.000001082910789,18.81033997711534,8.42269721e-07,29.23593488476028,67.62612556602961,58.279486457746565,131.22502513502633,61.24681962748654,52.62340719963619,31.417437192218973,C02045,323,23,15,21,52,61,18,15,32,20,4,0,53,3,5,342,238,104,213,56,15,6,132,4,1449.0,764.2472214692328,299.40092165898614,0.0,221.90458118731365,0.0,0.0,96.0,67.44727568446734,12.857142857142858,0.0,0.0,0.0,0.0,42.62618595825427,11.963946869070208,2-45,241,83,Cook,0.04616477246818145,0.5731534091557322,0.24857954587745384,0.002130681818758849,0.11576704519785314,0.0007102272741850546,0.0021306818225551635,0.011363636386960873,0.29789164340766855,0.16647876696514505,0.03487430988506139,0.012253138791514344,4.63553114807807e-10,0.05072144777131268,0.01319568910723686,0.01772966993855658,7.938806087895181e-10,0.02755630554697834,0.06374094710503785,0.05493128036715488,0.12368603577358625,0.057728137721207266,0.049600147675528145,0.029612478690499246,0.6197183098591549,0.26291079812206575
20029,29.0,4269570.51213,10168.3082792,20.0,1520.99999043,11.99999987686225,1444.99999117,0.0,27.999999466029443,0.0,1.0,9.999999976379916,24.999999938431124,0.999999938431125,23.0,0.0,1.0,0.0,0.0,0.0,1143.99999208,7.999999938431125,10.99999987686225,1087.99999282,0.0,26.999999466029443,0.0,1.0,8.999999976379916,560.2982565018623,175.06785902701475,167.55963919406182,34.41782969507729,31.68741637485295,73.93204636948485,3.343783297237261,14.453604018222196,5.308853186442361,6.846120061167313,2.249040201556767,13.711812187302584,25.645189129705386,2.286905748780727,3.788157879781448,0.0,1.31174565e-07,C20029,337,6,4,134,78,23,1,5,10,17,6,3,44,3,0,325,203,122,177,68,6,16,85,2,1521.0,23.841471142041645,1458.69765242,0.0,14.488636363636363,0.0,0.0,0.0,23.972240075769285,20.486793504796395,0.0,0.587719298245614,0.0,0.0,2.897727272727272,0.0,20-29,176,119,Cook,0.0069930069876011705,0.009615384574314767,0.9510489513569123,0.0,0.023601398298035415,0.0,0.0008741258801775148,0.007867132900950707,0.31245476314708626,0.29905436479527026,0.061427693725052475,0.05655455109335617,0.13195123402858405,0.005967863112967133,0.0257962680599099,0.009475048556437398,0.01221870670080259,0.004014005354216718,0.024472344913065082,0.04577060312451668,0.004081586409100536,0.0067609667455191475,0.0,2.341156044621103e-10,0.480225988700565,0.384180790960452
10013,13.0,202740181.099,70199.4802524,10.0,1655.99999788,59.999999997054935,391.0000018635326,3.999999991795189,2.0,0.0,0.0,25.999999822831125,1172.9999962,513.999997500581,27.0,5.0,0.0,0.0,593.9999994215782,32.99999928098711,1168.99999818,853.9999971712256,50.999999997054935,243.00000119381988,2.999999991795189,2.0,0.0,0.0,15.999999822831125,1107.49947738,280.3045802380585,166.086902760018,100.22905159195187,85.98485406355809,64.34952635135352,39.197086680245015,35.61635964592155,29.25917435105678,9.503373167379596,37.756124338432336,99.76563914465245,78.67087957953152,61.99733220442903,0.47839541624366,15.804716290238146,2.495481555514397,C10013,242,9,13,19,8,22,6,85,60,4,2,0,10,2,1,367,125,242,291,135,49,15,73,19,1656.0,69.6951219512195,770.7332808811962,0.0,0.0,0.0,0.0,3.570967741935484,812.000629425649,737.1807238394965,7.935483870967743,0.0,0.0,0.0,66.8844217151849,0.0,10-13,141,34,Cook,0.7305389208732305,0.04362703171638677,0.20786997568190185,0.002566295976446405,0.0017108639889767089,0.0,0.0,0.013686911760257747,0.25309680587946837,0.14996567145379433,0.09050031502413229,0.07763873105111667,0.05810343721658861,0.03539242002440774,0.03215925639096354,0.02641913151984045,0.008580927902432629,0.03409132474513813,0.0900818837230217,0.07103468776855985,0.05597955888078203,0.00043195994762489196,0.014270630924022826,0.002253257546827861,0.2508591065292096,0.4639175257731959
29021,21.0,1940289.17728,5575.04434108,29.0,2116.99995819,9.0,2061.99995944,2.0,1.0,1.0,0.0,7.999998754042789,34.0,6.0,6.0,0.0,0.0,0.0,19.0,3.0,1486.99997315,23.0,9.0,1444.9999744,2.0,1.0,1.0,0.0,5.999998754042789,792.9999256470295,74.00000374933713,162.99998236866685,14.000000698074356,68.999994216285,19.999997823406357,79.99998984983156,56.999992735702364,55.99999476667806,14.999999455578935,21.999998516125064,99.99998697247896,21.999998026416687,31.999995506103463,36.9999947584374,31.999995500005173,7.03902147e-07,C29021,251,3,1,88,51,21,2,0,11,21,10,0,36,4,1,288,181,107,259,115,5,13,125,1,2117.0,36.36285560923243,2043.13794954,0.0,0.0,0.0,0.0,20.45410628019323,17.045088566827697,17.045088566827697,0.0,0.0,0.0,0.0,0.0,0.0,29-21,189,72,Cook,0.015467384273906704,0.0060524547158765365,0.9717552121665282,0.0013449899368614526,0.0006724949684307263,0.0006724949684307263,0.0,0.004034968972684402,0.0933165330235795,0.20554854684969973,0.017654479206478346,0.08701135017129553,0.025220680578359238,0.10088272049276356,0.07187893831035932,0.07061790670533315,0.01891551180580508,0.027742749784213015,0.12610340018744182,0.02774274916667402,0.04035308765003203,0.04665825753797913,0.04035308764234188,8.876446569974993e-10,0.4826254826254826,0.444015444015444
04011,11.0,3127425.5615,11089.0377963,4.0,2040.99995739,33.99999993777297,1941.99995801,1.999999875545946,7.0,2.0,4.999999751091892,27.999999937772973,20.999999875545946,9.0,6.0,0.0,0.0,0.0,1.999999875545946,4.0,1405.99997539,13.999999937772973,24.999999937772973,1340.9999757,1.999999875545946,6.0,2.0,1.0,14.999999937772973,996.4385988840894,331.8911587828306,162.61694694202936,73.04426662906076,74.16772783647812,41.95792220387689,45.32266282611607,51.92035643672233,63.659379298370716,8.657484137428554,58.18011945390181,32.55079907920172,32.36362243663781,6.846678072968817,3.315689156065452,9.943784704760693,8.87639685e-07,C04011,303,3,5,77,83,26,1,5,8,38,8,1,39,4,0,340,221,119,279,181,9,22,63,4,2041.0,13.081293859607765,1936.54436752,0.0,16.863913337846988,0.0,10.933837429111533,5.285515320334262,58.29107252862425,42.87344497417595,2.466573816155989,0.0,0.0,0.0,8.370273794002607,4.580779944289694,4-11,198,122,Cook,0.009957325876829846,0.017780939100541883,0.9537695584440036,0.0014224750430676082,0.004267425394752019,0.0014224751315840066,0.0007112375657920033,0.01066856344262185,0.3330773809389913,0.16319816105492493,0.07330533633568888,0.07443281293954136,0.042107885273478494,0.04548465191620726,0.05210592654165333,0.06388690619739419,0.00868842711143874,0.05838806276579176,0.03266713986757972,0.032479294231357356,0.006871148990651711,0.003327539860236937,0.009979325084251782,8.908122246509387e-10,0.22580645161290322,0.6487455197132617
10001,1.0,5626781.35958,10344.1270779,10.0,1240.93685001,31.312283337472774,732.0,3.0,2.0,0.0,0.0,7.0,465.6245666749455,211.62456667494556,17.0,0.0,0.0,0.0,220.0,17.0,894.9368500124183,353.6245666749455,31.312283337472774,500.0,2.0,2.0,0.0,0.0,6.0,696.1688977049838,172.44393077616363,159.995567778524,88.6152998087281,55.75919789234374,15.043412275169237,23.16513953956771,20.657903895039734,20.665356626527277,15.119347137332674,36.77627778103902,44.99327290774259,20.80231949737719,6.860657165160928,1.04764758e-07,15.271214356069802,1.6343346e-07,C10001,207,3,5,37,50,15,1,23,32,14,1,0,21,1,1,250,127,123,167,64,51,6,38,8,1240.0,45.93602343947612,738.4253070458951,0.0,11.447963800904978,0.0,0.0,2.279503105590062,441.9112026081336,292.15689131840026,25.074534161490682,0.0,0.0,0.0,116.8134734830387,7.866303645203899,10-1,154,59,Cook,0.3951391281631085,0.03498826016275705,0.5586986388962103,0.002234794555584841,0.002234794555584841,0.0,0.0,0.0067043836667545235,0.24770415820736705,0.22982291841243024,0.12728994372035374,0.08009435364918137,0.021608854294930306,0.03327517160840533,0.029673695511450375,0.029684400861132203,0.02171792963916612,0.0528266601715145,0.06462982338922219,0.029881138852877354,0.009854874568194623,1.5048755890326527e-10,0.02193607672852587,2.3476122035727366e-10,0.2275449101796407,0.38323353293413176
